Feature,Importance
工银速汇汇出_日期_2024-12,0
工银速汇汇入_日期_2024-01,0
工银速汇汇入_日期_2024-02,0
工银速汇汇入_日期_2024-03,0
cips汇出_部门_CRD,0
cips汇出_部门_INT,0
cips汇出_部门_OTHERS,0
cips汇入_部门_APD,0
cips汇入_部门_CHD,0
cips汇入_部门_INT,0
cips汇入_部门_OTHERS,0
fps汇出_部门_APD,0
笔数_对手方类型2_self,0
金额（折港币）_对手方类型2_others,0
fps汇出_部门_OTHERS,0
fps汇入_部门_APD,0
fps汇入_部门_INT,0
fps汇入_部门_OTHERS,0
金额（折港币）_对手方类型2_self,0
fps金额出_部门_INT,0
fps金额出_部门_OTHERS,0
fps金额入_部门_APD,0
fps金额入_部门_INT,0
fps金额入_部门_OTHERS,0
cusno_对手方类型_corp,0
cusno_对手方类型_indv,0
笔数_对手方类型_corp,0
笔数_对手方类型_indv,0
金额（折港币）_对手方类型_corp,0
金额（折港币）_对手方类型_indv,0
cusno_对手方类型2_others,0
cusno_对手方类型2_self,0
笔数_对手方类型2_others,0
tt汇入_部门_OTHERS,0
chats汇出_部门_OTHERS,0
chats汇入_部门_APD,0
chats汇入_部门_OTHERS,0
cips汇出_部门_APD,0
fps金额出_日期_2024-03,0
fps金额出_日期_2024-04,0
fps金额出_日期_2024-05,0
fps金额出_日期_2024-06,0
fps金额出_日期_2024-09,0
fps金额出_日期_2024-11,0
工银速汇汇出_部门_OTHERS,0
工银速汇汇入_部门_APD,0
工银速汇汇入_部门_CRD,0
工银速汇汇入_部门_GBD,0
工银速汇汇入_部门_INT,0
工银速汇汇入_部门_OTHERS,0
belong_brno_渠道_柜面,0
belong_brno_渠道_清算平台,0
belong_brno_渠道_网银,0
belong_brno_渠道_银企,0
笔数_渠道_其他,0
笔数_渠道_柜面,0
笔数_渠道_清算平台,0
笔数_渠道_网银,0
笔数_渠道_银企,0
汇出金额_部门_OTHERS,0
汇入金额_部门_OTHERS,0
fps金额出_部门_APD,0
tt汇出_部门_APD,0
tt汇出_部门_OTHERS,0
tt汇入_部门_APD,0
fps金额出_日期_2024-12,0
cusno_部门_APD,0
cusno_部门_CHD,0
cusno_部门_CRD,0
cusno_部门_GBD,0
cusno_部门_INT,0
cusno_部门_OTHERS,0
belong_brno_部门_APD,0
belong_brno_部门_CHD,0
belong_brno_部门_CRD,0
belong_brno_部门_GBD,0
