Leaf_Feature,Coefficient
gbdt_leaf_27_36,-0.25315451221979085
gbdt_leaf_31_31,0.2513069538999573
gbdt_leaf_15_37,0.2511898286275635
gbdt_leaf_17_45,0.2503861898382045
gbdt_leaf_27_40,-0.25034310786887687
gbdt_leaf_14_41,-0.2503019926152923
gbdt_leaf_23_52,0.2496056275682123
gbdt_leaf_23_58,-0.24926278807338836
gbdt_leaf_20_13,0.24896064676463406
gbdt_leaf_3_28,-0.24884350871464408
gbdt_leaf_13_58,-0.24843684018704212
gbdt_leaf_7_28,0.24776906278988292
gbdt_leaf_20_26,-0.2476382006876806
gbdt_leaf_1_16,-0.24744734608600358
gbdt_leaf_7_17,-0.24732649532574622
gbdt_leaf_27_16,-0.24545940016482645
gbdt_leaf_23_29,0.24485338068009302
gbdt_leaf_7_46,-0.24435296511820487
gbdt_leaf_25_19,0.24357788074915696
gbdt_leaf_8_54,0.24244959343417635
gbdt_leaf_5_36,-0.2424028855470449
gbdt_leaf_6_37,0.24229863890691175
gbdt_leaf_26_48,0.241861235653984
gbdt_leaf_14_60,0.24183330155279778
gbdt_leaf_29_31,-0.24064113705481976
gbdt_leaf_23_9,-0.2397379214786593
gbdt_leaf_3_18,0.23953467025492653
gbdt_leaf_25_31,0.2394553485780348
gbdt_leaf_31_41,0.2390676087158962
gbdt_leaf_8_44,0.2386500114023069
gbdt_leaf_0_38,-0.2383524250972098
gbdt_leaf_16_40,-0.2382487548761444
gbdt_leaf_15_8,-0.23797106756578268
gbdt_leaf_17_62,0.2374813857351639
gbdt_leaf_23_4,-0.23723508293348852
gbdt_leaf_9_5,0.23641266816130765
gbdt_leaf_12_14,-0.23631320949008733
gbdt_leaf_9_8,-0.23621545488797902
gbdt_leaf_18_8,-0.23621545488797902
gbdt_leaf_3_15,-0.23573855435995864
gbdt_leaf_27_47,-0.23556021466610572
gbdt_leaf_19_44,0.23536253604522267
gbdt_leaf_8_15,-0.23477782226982147
gbdt_leaf_12_44,-0.23432024468474852
gbdt_leaf_0_7,0.2341422572097338
gbdt_leaf_3_29,0.2340279970332124
gbdt_leaf_9_31,-0.2337994289304345
gbdt_leaf_25_13,0.2335792966176435
gbdt_leaf_19_7,-0.2332908058692271
gbdt_leaf_12_0,-0.23290171119939704
gbdt_leaf_25_17,-0.2328145391822167
gbdt_leaf_20_14,-0.23270949012885894
gbdt_leaf_20_48,0.2322135201824277
gbdt_leaf_3_38,0.23162002524269942
gbdt_leaf_2_28,0.23148657620033636
gbdt_leaf_11_20,-0.2314724485837448
gbdt_leaf_16_49,0.231471906240947
gbdt_leaf_5_39,0.23141939465688924
gbdt_leaf_12_12,0.23124018361525725
gbdt_leaf_31_14,0.2312072930922075
gbdt_leaf_23_36,0.23058858238841376
gbdt_leaf_18_50,-0.2301943802021214
gbdt_leaf_22_52,-0.23018504311893176
gbdt_leaf_29_36,0.22976260404449056
gbdt_leaf_0_19,-0.22957160152519762
gbdt_leaf_31_58,0.22892887862195213
gbdt_leaf_1_52,0.2288614502066117
gbdt_leaf_7_45,0.22873005604704547
gbdt_leaf_1_45,0.22872404213456318
gbdt_leaf_22_32,0.22856422725036868
gbdt_leaf_20_44,0.22758791775413775
gbdt_leaf_7_20,0.2273671354676771
gbdt_leaf_24_49,0.22733404855445116
gbdt_leaf_7_32,0.2270600308097094
gbdt_leaf_18_35,0.22628527362064532
gbdt_leaf_30_54,-0.2261745779055045
gbdt_leaf_15_19,-0.22611934609431722
gbdt_leaf_23_44,0.22595890161051205
gbdt_leaf_6_9,-0.22593043992769227
